Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0
1,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1
2,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1
3,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1
4,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1
5,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1
6,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0
7,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1
8,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0
9,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1
10,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1
11,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0
12,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1
13,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1
14,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0
15,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0
16,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0
17,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1
18,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0
19,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1
20,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1
21,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1
22,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0
23,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0
24,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0
25,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1
26,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0
27,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1
28,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1
29,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1
30,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0
31,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1
32,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1
33,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1
34,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1
35,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0
36,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1
37,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1
38,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1
39,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0
40,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0
41,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0
42,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1
43,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1
44,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0
45,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1
46,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1
47,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1
48,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1
49,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0
